DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;110,11;108082,89;457256555,3
PAN;AXM;21,58;18547;78465123,66
DEU;BOG;576;4475,52;18142683,95
DEU;BOG;84;525;2221070,25
DEU;BOG;30;114;482289,54
DEU;BOG;90;313,5;1326296,23
DEU;BOG;5;30,7;129879,72
DEU;BOG;144;768;3249108,48
DEU;BOG;8;37;156532,57
DEU;BOG;32;33556,12;142239359,3
DEU;BOG;20;3280;13876400,8
DEU;BOG;50;7741,4;32750844,25
DEU;BOG;18;6624;28023560,64
DEU;BOG;25;6200;26229781
DEU;BOG;30;4920;20814601,2
DEU;BOG;35;6860;29021984,6
DEU;BOG;20;2560;10830361,6
DEU;BOG;1031;107926,11;456245758,2
DEU;BOG;2;11612,12;48933125,31
DEU;BOG;8960;1612,8;6823127,8
DEU;BOG;140;200771,94;846571856,7
DEU;BOG;4900;882;3715425
DEU;BOG;14400;2592;10918800
DEU;BOG;10555;1891,9;8006464,04
DEU;BOG;37203;6639,34;28097487,69
DEU;BOG;58832;15773,71;66022338,45
DEU;BOG;2825;452;1912235,72
DEU;BOG;23620;4263,4;17894159,85
DEU;BOG;9;18;76537,62
DEU;BOG;49,5;144,5;614427
DEU;BOG;78;195;829157,55
DEU;BOG;20;75;318906,75
DEU;BOG;270,6;1030,5;4381778,74
DEU;BOG;99;367,2;1561367,44
DEU;BOG;81;276,9;1177403,72
DEU;BOG;196,2;1008;4286106,72
DEU;BOG;1770,6;7254;30844660,86
DEU;BOG;29;164;697342,76
DEU;BOG;32,5;121,5;516628,93
DEU;BOG;140;3176,6;13465130,91
DEU;BOG;30;45144,57;190572836,4
DEU;BOG;284,78;98500;417526725
DEU;BOG;0,27;61500;260689275
DEU;BOG;106196;28408,36;119702134,9
DEU;BOG;10;619,91;2554413,54
DEU;BOG;270;9614,38;39617206,51
DEU;BOG;12;353,54;1456803,99
DEU;BOG;1;60,8;250533,69
DEU;BOG;32;150;637350
DEU;BOG;3;120;494474,4
DEU;BOG;1;3710;16274508,6
DEU;BOG;31;2409,64;10154150,67
DEU;BOG;4;327,86;1381592,2
DEU;BOG;27;3172,02;13366797,11
DEU;BOG;8;3407,1;13811565,69
DEU;BOG;24;1519,78;6377092,95
DEU;BOG;2;100;405376
DEU;BOG;2;5499,78;22662503,46
DEU;BOG;37600;6812;28848854,24
DEU;BOG;11520;2073,6;8735040
DEU;BOG;63680;11503,84;48459926
DEU;BOG;4400;836;3552164
DEU;BOG;8800;1672;7104328
DEU;BOG;5476;930,92;3921500,5
DEU;BOG;16438;3463,8;14591257,5
DEU;BOG;2802;3965,94;16778345,42
DEU;BOG;1;2402,24;9948708,8
DEU;BOG;1;361,98;1499114,83
DEU;BOG;1;2681,95;11107108,18
DEU;BOG;50;434,5;1846498,99
DEU;BOG;300;684,5;2908926,49
DEU;BOG;24480;4892;20786108
DEU;BOG;2250;672;2842969,92
DEU;BOG;26256;28491,86;120021960,3
DEU;BOG;23220;3199,57;13508872,5
DEU;BOG;70780;10801,06;45620438,43
DEU;BOG;1800;924,5;3918816,82
DEU;BOG;1550;10122,75;42949604,55
DEU;BOG;0,5;55000;222956800
DEU;BOG;2714;3214,64;14101532,7
DEU;BOG;125,21;9440;39906561,6
DEU;BOG;7100;1278;5383575
DEU;BOG;41367;7450,06;31383377,75
DEU;BOG;1;639,61;2717702,89
DEU;BOG;246;2081,67;8649213,94
DEU;BOG;7537;41130;174343900,5
DEU;BOG;1300;7800;33063030
DEU;BOG;2;1;4238,85
DEU;BOG;180;477;2021931,45
DEU;BOG;3420;18183,8;77078400,63
DEU;BOG;4800;624;2639900,64
DEU;BOG;20;84,7;360152,02
DEU;BOG;25;112,66;481099,37
DEU;BOG;130;489,4;2080932,61
DEU;BOG;26;112,95;480273,57
DEU;BOG;10;4;16927,88
DEU;BOG;13;157,71;670597,11
DEU;BOG;216;808,75;3514385,01
DEU;BOG;70;329,9;1419720,97
DEU;BOG;1125;5884,52;25281881,48
DEU;BOG;17;86,4;367380,58
DEU;BOG;1000;122,49;514645,4
DEU;BOG;319;5782,57;24295641,33
DEU;BOG;253671;1388,11;5812030,45
DEU;BOG;2040;277,44;1169123,83
DEU;BOG;2380;323,68;1363977,8
DEU;BOG;40200;6518,4;27682159,68
DEU;BOG;230280;36884,4;156569128
DEU;BOG;180;27;118439,82
DEU;BOG;4760;618,8;2617901,46
DEU;BOG;2380;309,4;1308950,73
DEU;BOG;13320;2131,2;9009413,56
DEU;BOG;91980;13690,8;57890365,73
DEU;BOG;8160;2448;10245904,32
DEU;BOG;8;8800;37301880
DEU;BOG;2;2200;9325470
DEU;BOG;4856,8;39695;167215187,5
DEU;BOG;834;8,34;35294,62
DEU;BOG;32845;4646,5;18835795,84
DEU;BOG;3381,21;2458783,87;10373020843
DEU;BOG;560;19753,22;83595034,44
DEU;BOG;2162,5;63863,88;280149127,8
DEU;BOG;300;883,1;3638919,52
ARM;BOG;60;0,12;494,47
ARM;BOG;448;1468,8;6443126,2
ARM;BOG;800;148;601002,84
ARM;BOG;1540;246,4;1080873,02
ARM;BOG;37690;5653,5;24799982,31
ARM;BOG;10560;3270,4;14256981,76
ARM;BOG;700;126;534095,1
ABW;BOG;2864;977,86;4289539,34
ABW;BOG;2532;866,24;3799900,35
ABW;BOG;1593;464,56;2037866,76
ABW;BOG;25;387,5;1699830,75
ABW;BOG;156;107,34;470864,08
ABW;BOG;161;651,25;2856812,32
ABW;BOG;4325;1384;5855164,24
ABW;BOG;3340;1563,5;6614558,73
ABW;BOG;169;931,2;3939544,02
ABW;BOG;13566;5148,46;21823549,66
ABW;BOG;564;214,05;907325,84
ABW;BOG;377;143,08;606494,65
ABW;BOG;1317;499,82;2118662
ABW;BOG;752;285,4;1209767,79
ABW;BOG;376;142,7;604883,89
ABW;BOG;29025;11015,32;46692289,08
ABW;BOG;90,96;643,65;2728335,8
ABW;BOG;30;87,7;361378,37
ABW;BOG;120;313,92;1293545,03
ABW;BOG;24;387,66;1636464,04
ABW;BOG;344;5766,12;24341041,29
ABW;BOG;75;2378;10038465,42
ABW;BOG;347;7476,2;31559955,91
ABW;BOG;41;205;858337,05
ABW;BOG;8;18;75985,02
ABW;BOG;4591;1390,65;6100308,72
ABW;BOG;200;60,58;265743,86
ABW;BOG;998;302,3;1326087,31
ABW;BOG;798;241,72;1060343,45
ABW;BOG;600;181,74;797231,58
ABW;BOG;200;60,58;265743,86
ABW;BOG;7985;2418,76;10610277,68
ABW;BOG;71,5;362,88;1591831,18
ABW;BOG;225;3300;13598046
ABW;BOG;86;1444,2;5950999,4
ABW;BOG;21;350,79;1445472,28
ABW;BOG;113;3388,79;13963915,84
ABW;BOG;241;5254,43;21651509,34
ABW;BOG;60;1682,6;6933355,21
ABW;BOG;228;4975,33;20501444,3
ABW;BOG;12;54,66;225233,08
ABW;BOG;52,4;582,4;2468706,24
ABW;BOG;29,1;230,69;977860,29
ABW;BOG;41,88;2393,64;10022194,61
ABW;BOG;36,82;1953,6;8179742,73
ABW;BOG;310,67;6635,6;27783323,55
ABW;BOG;144,12;6164,4;25810404,44
ABW;BOG;16,66;1099,2;4602361,39
ABW;BOG;325;15457;63692423,34
ABW;BOG;21;567;2336391,54
ABW;BOG;4725;1542;6687716,8
ABW;BOG;250;35;146545,35
ABW;BOG;1750;242,5;1045087,2
ABW;BOG;2630;657,6;2824402,45
ABW;BOG;1660;498;2147191,38
ABW;BOG;500;316,5;1376905,66
ABW;BOG;5437;2689,91;11577033,2
ABW;BOG;188;2514,24;10734050,48
ABW;BOG;60;122,72;517399,3
ABW;BOG;55;124,53;525195,12
ABW;BOG;168;366,55;1546171,51
ABW;BOG;60;122,73;526943,54
ABW;BOG;55;124,52;535375,24
ABW;BOG;168;366,55;1577244,17
ABW;BOG;389,22;348101,96;1508545745
ABW;BOG;474;3792,59;16032757,04
BIH;BOG;5;40;168558,8
BIH;BOG;31755;8891,5;37534489,18
BIH;BOG;9000;1080;4559101,2
AGO;BOG;3;12299,98;52262615,02
AGO;BOG;30;354,87;1507842,63
AGO;BOG;9,5;299,65;1273212,85
AGO;BOG;23,85;1455,22;6183229,78
AGO;BOG;2,65;565,7;2403659,3
SAU;BOG;920;766,8;3241562,65
SAU;BOG;8772;5875,26;24801763,81
SAU;BOG;11948;9418,73;40272653,95
SAU;BOG;10;138;601597,2
SAU;BOG;962;365,56;1593622,26
SAU;BOG;30;121,2;512749,93
SAU;BOG;20;118,2;500058,1
SAU;BOG;28;128,1;541941,14
SAU;BOG;16;67,2;284296,99
SAU;BOG;14;50,4;213222,74
SAU;BOG;45;138,75;586997,13
SAU;BOG;25;148,5;628245,58
SAU;BOG;15,3;78,5;332102,88
SAU;BOG;20;90;380754,9
SAU;BOG;17;9267;37566193,92
SAU;BOG;6;1711;6935983,36
SAU;BOG;3;891;3611900,16
SAU;BOG;16;20146,09;84895018,87
SAU;BOG;6;51444,56;216785832,5
SAU;BOG;12900;4093;16950872,99
SAU;BOG;800;152;629497,36
SAU;BOG;210;2,1;8697
SAU;BOG;540;172,8;715639,1
SAU;BOG;610;684,5;2834808,83
SAU;BOG;700;219;906973,17
SAU;BOG;469;2582;10693172,26
SAU;BOG;5040;46176,48;194586301,4
SAU;BOG;8400;76960,8;324950816,2
SAU;BOG;4219;14840,4;65099789,05
SAU;BOG;720;10320;42739557,6
SAU;BOG;130;1096,4;4688905,48
SAU;BOG;260;1508,25;6466504,46
SAU;BOG;133,5;617,3;2647692,06
SAU;BOG;73;482,7;2084242,36
SAU;BOG;153,9;1153,4;4963867,46
SAU;BOG;12,6;112,56;478615,25
SAU;BOG;20;180;756275,4
SAU;BOG;2;119,85;508026,17
SAU;BOG;8;0,68;2882,41
SAU;BOG;0,01;7,26;30774,05
SAU;BOG;0,37;1863,16;7897655,76
SAU;BOG;4;1777,05;7551947,15
SAU;BOG;1;424,32;1798628,83
DZA;BOG;17;750;3166042,5
DZA;BOG;2943;19755,72;83741533,72
ARG;BOG;50;1909,31;8045775,06
ARG;BOG;61;38950;165498550
ARG;BOG;2;3250;13809250
ARG;BOG;31460;3146;13313777,62
ARG;BOG;95950;26446,5;115290872,1
ARG;BOG;51702;10376;43708900
ARG;BOG;64;1010;4196489,4
ARG;BOG;13273;2362,54;9784294,03
ARG;BOG;3200;5844,8;24284793,31
ARG;BOG;2750,77;84190,45;356249793,1
ARG;BOG;1513,68;14171,3;59953243,49
ARG;BOG;300;2937,1;12449926,33
ARG;BOG;1200;7668;31138444,44
ARG;BOG;2;3733,16;15159728,12
ARG;BOG;2507,07;23471,5;99298762,61
ARG;BOG;78;1880;8246920,8
ARG;BOG;7;685,28;2823778,47
ARG;BOG;20;145,6;617176,56
ARG;BOG;0,01;32,62;138271,28
ARG;BOG;0,01;73,85;313039,07
ARG;BOG;5;43,05;182482,49
ARG;BOG;0,1;850;3603022,5
ARG;BOG;2,9;36;152598,6
ARG;BOG;8;734,15;3111951,72
ARG;BOG;1;44,56;188883,15
ARG;BOG;0,01;1297;5497788,45
ARG;BOG;0,1;28,46;120637,67
ARG;BOG;1;143;606155,55
ARG;BOG;10;32,1;136067,08
ARG;BOG;4;34,84;147681,53
ARG;BOG;10;10,8;45779,58
ARG;BOG;3;73,64;310914,7
ARG;BOG;1300;78;331663,02
ARG;BOG;1,7;172,26;732465,02
ARG;BOG;72;61,56;261758,65
ARG;BOG;12;2970,64;12438099,38
ARG;BOG;17075;2236,83;9293894,44
ARG;BOG;760;471,2;1957807,72
ARG;BOG;18625;5550,5;23549887,44
ARG;BOG;4200;462;1934398,62
ARG;BOG;355;304,5;1274944,54
ARG;BOG;3240;670,4;2848529,6
ARG;BOG;2;881,68;3867630,38
ARG;BOG;179;17467,27;75018283,42
ARG;BOG;2;64,64;283553,7
ARG;BOG;1;99,83;404686,86
ARG;BOG;896800;44815,09;187408241,5
ARG;BOG;1;2285;10023518,1
ARG;BOG;60000;5151,6;21746912,72
ARG;BOG;0,21;214,34;868882,91
ARG;BOG;69;3284,22;13313439,66
ARG;BOG;1;214,57;869815,28
ARG;BOG;155;11081,76;44922795,41
ARG;BOG;24;1404,95;5695330,11
ARG;BOG;12;137,15;555973,18
ARG;BOG;2024,28;1463556,66;6197042738
AUS;BOG;216960;38244,17;161422463,2
AUS;BOG;19600;5467;23042655,79
AUS;BOG;22000;2200;9288598
AUS;BOG;8100;4860;20560764,6
AUS;BOG;335;223;942707,97
AUS;BOG;1500;315;1329958,35
AUS;BOG;5400;1134;4787850,06
AUS;BOG;7150;2431;10663970,46
AUS;BOG;33600;5880;23877680,4
AUS;BOG;16850;3370;14783044,2
